report_refresh_date,tenant_display_name,user_id,last_activity_date,team_chat_message_count,private_chat_message_count,call_count,meeting_count,post_messages,reply_messages,urgent_messages,meetings_organized_count,meetings_attended_count,ad_hoc_meetings_organized_count,ad_hoc_meetings_attended_count,scheduled_one_time_meetings_organized_count,scheduled_one_time_meetings_attended_count,scheduled_recurring_meetings_organized_count,scheduled_recurring_meetings_attended_count,audio_duration,video_duration,screen_share_duration,audio_duration_in_seconds,video_duration_in_seconds,screen_share_duration_in_seconds,has_other_action
2023-11-16,serranojoseph@example.org,3cae6678-c44f-4cf0-b507-fc1d8c7d2477,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,hmckinney@example.org,798bca91-b8d6-4ac6-8109-39bae470d23f,2023-11-16,4,43,1,1,4,0,0,1,1,1,1,0,0,0,0,PT40M5S,PT39M56S,PT0S,2405,2396,0,No
2023-11-16,dwaters@example.org,16f4f77e-e970-43b6-bccf-3bbce3c37b99,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,armstrongbryan@example.net,544fa54c-1d73-482f-9419-d6c530051a40,2023-11-16,3,25,0,0,0,3,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,No
2023-11-16,canthony@example.com,5e0bb2a1-20d0-46e7-8b9c-7f490c24a74c,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,usmith@example.com,f2145c99-3dbc-41cd-9105-0ac5b58d6ba2,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,youngmatthew@example.net,7723448f-d746-4767-b25b-c93f7a8cd1f1,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,josephsmith@example.net,9eff3eb0-1fbb-4db9-9dc7-ed81e73b92c0,2023-11-16,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,PT8S,PT0S,PT0S,8,0,0,No
2023-11-16,briannoble@example.com,46bd38d5-04ba-4e9a-9766-d3a16bc48b31,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,pnorton@example.org,a21a1c3d-12a5-4732-a372-72848e50380e,2023-11-16,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,PT1H26M15S,PT1H26M15S,PT1H26M15S,5175,5175,5175,No
2023-11-16,kyleswanson@example.net,a25baa4c-524c-41b4-b668-2e6656ac33ab,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,robertcohen@example.com,bef4ef6d-9a84-417f-8e96-b25faf2e8865,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,kfreeman@example.com,b0429641-da0f-4ff1-897e-1c59cf2ca901,2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,Yes
2023-11-16,oortega@example.com,5efc9914-0c2d-4ee0-8a46-a4731ab3c23b,2023-11-16,2,14,0,1,2,0,0,0,1,0,0,0,1,0,0,PT50M9S,PT50M9S,PT0S,3009,3009,0,No
2023-11-16,marcusyoung@example.org,1301d915-c632-483d-8974-75387bd9ba86,2023-11-16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,No
2023-11-16,jennifervilla@example.com,6eb2e883-fc9a-402a-855c-e316a6b515e0,2023-11-16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,PT26M6S,PT26M6S,PT0S,1566,1566,0,No
2023-11-16,peterrivera@example.org,e4bc999d-7ce6-47a4-a439-32b06f2cc001,2023-11-16,0,0,0,2,0,0,0,1,2,1,1,0,1,0,0,PT58M6S,PT58M6S,PT50M31S,3486,3486,3031,No
2023-11-16,donaldsmith@example.net,8a23ef6d-9cc8-4036-a848-6f17a49f7afa,2023-11-16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,No
2023-11-16,tracey27@example.com,4ec2b1db-8bff-420c-bd24-49ed09deb78b,2023-11-16,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,PT0S,PT0S,PT0S,0,0,0,No
